session,policy,visible_cumulative_tokens,visible_peak_tokens,visible_end_tokens,stale_visible_tokens,hidden_bytes,prunes,critical_recall,exact_recall,unresolved_failure_visible,expected_retry_turns,dollars,winner,quality_winner
small_edit_8,raw_accumulate,32020,6090,6090,2900,0,0,0.95,0.92,none,0.403,0.183732,,
small_edit_8,manual_prune_every_10,24014,4567,4567,1885,24360,0,0.91,0.86,none,0.354,0.158538,,
small_edit_8,auto_replace_capsules,4897,825,825,232,24360,0,0.94,0.91,none,0.214,0.097827,,
small_edit_8,budgeted_projector_40k,3901,662,662,116,24360,0,0.955,0.9,none,0.136,0.092967,,
small_edit_8,pi_mrc_keep_ref_drop,2539,428,428,58,24360,0,0.925,0.965,none,0.105,0.088137,,quality_winner
small_edit_8,aggressive_drop,1041,215,164,29,24360,0,0.78,0.82,none,0.139,0.084459,winner,
debug_loop_24,raw_accumulate,1137950,78550,78550,39100,0,0,0.95,0.92,none,0.55,3.66105,,
debug_loop_24,manual_prune_every_10,608262,43140,32342,11064,314200,2,0.91,0.86,none,0.411,2.06865,,
debug_loop_24,auto_replace_capsules,109855,9913,2184,3128,314200,0,0.94,0.91,none,0.487,0.575253,,
debug_loop_24,budgeted_projector_40k,86300,7788,1718,1564,314200,0,0.955,0.9,none,0.342,0.501108,,
debug_loop_24,pi_mrc_keep_ref_drop,47336,4149,1049,782,314200,0,0.925,0.965,none,0.311,0.383472,,quality_winner
debug_loop_24,aggressive_drop,22407,2111,368,391,314200,0,0.78,0.82,none,0.55,0.314421,winner,
refactor_40,raw_accumulate,2795000,141250,141250,57500,0,0,0.8649,0.8519,none,1.271,8.805504,,
refactor_40,manual_prune_every_10,1238282,56761,40308,7179,565000,4,0.91,0.86,none,0.756,4.12299,,
refactor_40,auto_replace_capsules,250392,10380,7860,4600,565000,0,0.94,0.91,none,0.816,1.16076,,
refactor_40,budgeted_projector_40k,196729,8155,6175,2300,565000,0,0.955,0.9,none,0.631,0.995331,,
refactor_40,pi_mrc_keep_ref_drop,117626,4884,3862,1150,565000,0,0.925,0.965,none,0.575,0.756678,,quality_winner
refactor_40,aggressive_drop,48650,2150,1560,575,565000,0,0.78,0.82,none,1.471,0.571254,winner,
research_80,raw_accumulate,10165600,242100,242100,72000,0,0,0.7225,0.7379,none,3.999,31.372776,,
research_80,manual_prune_every_10,3145810,61315,37319,4475,968400,8,0.9077,0.8581,none,1.596,10.255734,,
research_80,auto_replace_capsules,1667878,38321,38261,5760,968400,0,0.9377,0.9081,none,1.166,5.811618,,
research_80,budgeted_projector_40k,1310436,30108,30061,2880,968400,0,0.9527,0.8981,none,1.046,4.736412,,
research_80,pi_mrc_keep_ref_drop,727630,16807,16807,1440,968400,0,0.9227,0.9631,none,0.913,2.984802,,quality_winner
research_80,aggressive_drop,172928,2900,2662,720,968400,0,0.7777,0.8181,none,2.981,1.370328,winner,
