scenario,strategy,visible_tokens,mutation_tokens,hidden_bytes,latency_seconds,expected_retry_turns,wrong_edit_risk,dollars,winner,quality_winner
tiny_text_edit,grep_model_edit,1655,144,0,0.2,0.08,0.025,0.012187,,
tiny_text_edit,apply_patch,1378,282,0,0.2,0.06,0.018,0.009946,,
tiny_text_edit,hidden_handle_batch,1352,100,7200,0.2,0.035,0.006,0.006418,winner,quality_winner
tiny_text_edit,lsp_refs_model_edit,858,130,7200,6.06,0.055,0.004,0.007173,,
tiny_text_edit,lsp_workspace_edit,228,70,0,6.06,0.745,0.003,0.021471,,
tiny_text_edit,code_probe_codemod,1954,200,7200,0.8,0.14,0.01,0.012022,,
local_rename_3_refs,grep_model_edit,3525,192,0,0.2,0.116,0.028,0.019381,,
local_rename_3_refs,apply_patch,2934,366,0,0.2,0.096,0.021,0.016306,,
local_rename_3_refs,hidden_handle_batch,2776,120,15200,0.2,0.071,0.009,0.01219,,
local_rename_3_refs,lsp_refs_model_edit,1494,150,15200,6.13,0.055,0.004,0.009166,,
local_rename_3_refs,lsp_workspace_edit,244,70,0,6.13,0.045,0.003,0.004743,winner,quality_winner
local_rename_3_refs,code_probe_codemod,3582,240,15200,0.8,0.14,0.01,0.017026,,
workspace_rename_60_refs,grep_model_edit,20300,1560,0,0.2,0.73,0.085,0.09949,,
workspace_rename_60_refs,apply_patch,22680,2760,0,0.2,0.71,0.078,0.108406,,
workspace_rename_60_refs,hidden_handle_batch,20400,690,112000,0.2,0.685,0.066,0.092452,,
workspace_rename_60_refs,lsp_refs_model_edit,9780,720,112000,2.5,0.025,0.004,0.033743,,
workspace_rename_60_refs,lsp_workspace_edit,700,70,0,2.5,0.015,0.003,0.004121,winner,quality_winner
workspace_rename_60_refs,code_probe_codemod,6940,660,112000,0.8,0.04,0.01,0.02596,,
organize_imports_18_files,grep_model_edit,9730,552,0,0.2,0.396,0.043,0.048676,,
organize_imports_18_files,apply_patch,11004,996,0,0.2,0.376,0.036,0.052006,,
organize_imports_18_files,hidden_handle_batch,10096,270,56000,0.2,0.351,0.024,0.0442,,
organize_imports_18_files,lsp_refs_model_edit,4824,300,56000,1.88,0.125,0.004,0.019798,,
organize_imports_18_files,lsp_workspace_edit,364,70,0,1.88,0.015,0.003,0.002896,winner,quality_winner
organize_imports_18_files,code_probe_codemod,3552,324,56000,0.8,0.14,0.01,0.017188,,
diagnostic_fix_12_errors,grep_model_edit,8520,408,0,0.2,0.344,0.037,0.042214,,
diagnostic_fix_12_errors,apply_patch,7086,744,0,0.2,0.324,0.03,0.037096,,
diagnostic_fix_12_errors,hidden_handle_batch,6524,210,36000,0.2,0.299,0.018,0.030904,,
diagnostic_fix_12_errors,lsp_refs_model_edit,1596,240,36000,1.17,0.025,0.004,0.007286,winner,quality_winner
diagnostic_fix_12_errors,lsp_workspace_edit,316,70,0,1.17,0.715,0.003,0.019303,,
diagnostic_fix_12_errors,code_probe_codemod,2468,276,36000,0.8,0.04,0.01,0.011392,,
dynamic_string_api,grep_model_edit,12540,696,0,0.2,0.08,0.025,0.046498,,
dynamic_string_api,apply_patch,14172,1248,0,0.2,0.06,0.018,0.051226,,
dynamic_string_api,hidden_handle_batch,12968,330,72000,0.2,0.035,0.006,0.041956,,
dynamic_string_api,lsp_refs_model_edit,6132,360,72000,1.64,0.405,0.029,0.035338,,
dynamic_string_api,lsp_workspace_edit,412,70,0,1.64,1.095,0.028,0.033676,,
dynamic_string_api,code_probe_codemod,4436,372,72000,0.8,0.0,0.01,0.016624,winner,quality_winner
broken_tsconfig,grep_model_edit,11500,600,0,0.2,0.44,0.045,0.05557,,
broken_tsconfig,apply_patch,9560,1080,0,0.2,0.42,0.038,0.049366,,
broken_tsconfig,hidden_handle_batch,8720,290,48000,0.2,0.395,0.026,0.041572,,
broken_tsconfig,lsp_refs_model_edit,1200,320,48000,8.0,0.95,0.004,0.030928,,
broken_tsconfig,lsp_workspace_edit,1200,70,0,8.0,0.95,0.004,0.030178,,
broken_tsconfig,code_probe_codemod,3180,340,48000,0.8,0.04,0.01,0.01372,winner,quality_winner
find_refs_debug,grep_model_edit,10225,960,0,0.2,0.5,0.06,0.057145,,
find_refs_debug,apply_patch,8480,1710,0,0.2,0.48,0.053,0.052336,,
find_refs_debug,hidden_handle_batch,7500,440,40000,0.2,0.455,0.041,0.042682,,
find_refs_debug,lsp_refs_model_edit,3930,470,40000,6.7,0.025,0.004,0.016913,,
find_refs_debug,lsp_workspace_edit,500,70,0,6.7,0.715,0.003,0.021791,,
find_refs_debug,code_probe_codemod,2990,460,40000,0.8,0.04,0.01,0.01351,winner,quality_winner
