session,policy,cached_input_tokens,uncached_input_tokens,prompt_tokens_total,cache_miss_turns,expected_retry_turns,dollars,winner,quality_winner
small_edit_8,giant_permanent_prompt,644000,92000,256000,1,0.05,0.548677,,
small_edit_8,medium_permanent_prompt,518000,74000,112000,1,0.025,0.456004,,
small_edit_8,compact_kernel_late_runtime,448000,71200,39200,1,0.018,0.426429,,
small_edit_8,kernel_plus_mode_shards,465500,73700,59200,1,0.017,0.439168,,
small_edit_8,kernel_tool_error_guidance,442400,68800,31200,1,0.01,0.41735,winner,quality_winner
small_edit_8,dynamic_posture_system_rewrite,477400,68200,65600,1,0.022,0.426313,,
debug_20,giant_permanent_prompt,1748000,92000,640000,1,0.131,0.999271,,
debug_20,medium_permanent_prompt,1406000,74000,280000,1,0.078,0.840684,,
debug_20,compact_kernel_late_runtime,1216000,82000,98000,1,0.082,0.807756,,
debug_20,kernel_plus_mode_shards,1257000,91000,148000,2,0.062,0.846625,,
debug_20,kernel_tool_error_guidance,1200800,77200,78000,1,0.039,0.787737,winner,quality_winner
debug_20,dynamic_posture_system_rewrite,1279400,84600,164000,3,0.073,0.834256,,
refactor_40,giant_permanent_prompt,3588000,92000,1280000,1,0.443,1.755491,,
refactor_40,medium_permanent_prompt,2886000,74000,560000,1,0.156,1.481567,,
refactor_40,compact_kernel_late_runtime,2496000,100000,196000,1,0.167,1.442783,,
refactor_40,kernel_plus_mode_shards,2567500,128500,296000,5,0.127,1.548874,,
refactor_40,kernel_tool_error_guidance,2464800,91200,156000,1,0.08,1.404881,winner,quality_winner
refactor_40,dynamic_posture_system_rewrite,2594200,133800,328000,9,0.148,1.572977,,
research_80,giant_permanent_prompt,7268000,92000,2560000,1,0.702,3.257144,,
research_80,medium_permanent_prompt,5846000,74000,1120000,1,0.306,2.76319,,
research_80,compact_kernel_late_runtime,5056000,136000,392000,1,0.319,2.712408,,
research_80,kernel_plus_mode_shards,5201500,190500,592000,9,0.245,2.917977,,
research_80,kernel_tool_error_guidance,4992800,119200,312000,1,0.191,2.639835,winner,quality_winner
research_80,dynamic_posture_system_rewrite,5256600,199400,656000,17,0.287,2.961612,,
