scenario,strategy,parent_tokens,subagent_tokens,reread_tokens,visible_tokens,expected_retry_turns,dollars,winner,quality_winner
known_single_file,parent_direct,165225,0,2000,4500,0.045,0.060397,,
known_single_file,deterministic_scout,126798,0,900,2400,0.04,0.048749,winner,quality_winner
known_single_file,prose_subagent,113653,24000,1700,5400,0.22,0.130876,,
known_single_file,typed_patch_subagent,106517,24000,700,2300,0.055,0.124775,,
known_single_file,parallel_typed_scouts,102641,44000,560,2460,0.17,0.186372,,
broad_unknown_repo,parent_direct,208600,0,10000,18500,0.34,0.08049,,
broad_unknown_repo,deterministic_scout,149355,0,4500,8800,0.185,0.058996,winner,quality_winner
broad_unknown_repo,prose_subagent,136735,24000,8500,18200,0.31,0.13996,,
broad_unknown_repo,typed_patch_subagent,120930,24000,3500,7900,0.1,0.130179,,
broad_unknown_repo,parallel_typed_scouts,115025,66000,2800,7500,0.095,0.254287,,
frontend_backend_trace,parent_direct,220600,0,14000,25500,0.335,0.08397,,
frontend_backend_trace,deterministic_scout,155305,0,6300,12000,0.08,0.058262,winner,quality_winner
frontend_backend_trace,prose_subagent,144885,24000,11900,24600,0.3,0.142166,,
frontend_backend_trace,typed_patch_subagent,125230,24000,4900,10700,0.095,0.131349,,
frontend_backend_trace,parallel_typed_scouts,118795,44000,3920,10020,0.09,0.189298,,
web_research_synthesis,parent_direct,218999,0,8000,15000,0.345,0.08373,,
web_research_synthesis,deterministic_scout,155399,0,3600,7200,0.74,0.07413,winner,
web_research_synthesis,prose_subagent,138399,24000,6800,15000,0.32,0.1407,,
web_research_synthesis,typed_patch_subagent,123699,24000,2800,6500,0.025,0.12921,,quality_winner
web_research_synthesis,parallel_typed_scouts,117239,88000,2240,6240,0.02,0.319152,,
failing_test_path,parent_direct,185899,0,6000,11500,0.07,0.0672,,
failing_test_path,deterministic_scout,137519,0,2700,5600,0.065,0.052566,winner,quality_winner
failing_test_path,prose_subagent,124839,24000,5100,11800,0.27,0.135432,,
failing_test_path,typed_patch_subagent,113420,24000,2100,5100,0.08,0.127446,,
failing_test_path,parallel_typed_scouts,108579,44000,1680,4980,0.075,0.185874,,
large_refactor_scope,parent_direct,233200,0,18000,32500,0.33,0.08763,,
large_refactor_scope,deterministic_scout,161585,0,8100,15200,0.075,0.060026,winner,quality_winner
large_refactor_scope,prose_subagent,153244,24000,15300,31000,0.29,0.144433,,
large_refactor_scope,typed_patch_subagent,129710,24000,6300,13500,0.09,0.132573,,
large_refactor_scope,parallel_typed_scouts,122715,66000,5040,12540,0.085,0.256355,,
